date,daily_mean_nox
01/02/2017,86
02/02/2017,49.5
03/02/2017,55.1
04/02/2017,103.5
05/02/2017,63.6
06/02/2017,128.8
07/02/2017,146
08/02/2017,128.4
09/02/2017,75.6
10/02/2017,81.5
11/02/2017,45.4
12/02/2017,34.1
13/02/2017,72.7
14/02/2017,74
15/02/2017,58.9
16/02/2017,98.6
17/02/2017,121.1
18/02/2017,71.7
19/02/2017,46.2
20/02/2017,63.1
21/02/2017,52.4
22/02/2017,35.8
23/02/2017,24.6
24/02/2017,107.2
25/02/2017,33
26/02/2017,18.5
27/02/2017,59.3
28/02/2017,76.2
01/03/2017,72.7
02/03/2017,48.6
03/03/2017,47.3
04/03/2017,50.4
05/03/2017,22.1
06/03/2017,90.1
07/03/2017,84.6
08/03/2017,72.8
09/03/2017,69.4
10/03/2017,65.2
11/03/2017,56.4
12/03/2017,77.6
13/03/2017,94.3
14/03/2017,69
15/03/2017,108.3
16/03/2017,84.7
17/03/2017,59.3
18/03/2017,23.8
19/03/2017,16.9
20/03/2017,38.1
21/03/2017,51.4
22/03/2017,40
23/03/2017,45.2
24/03/2017,45.5
25/03/2017,36
26/03/2017,22.2
27/03/2017,51.8
28/03/2017,65.1
29/03/2017,53.4
30/03/2017,74.6
31/03/2017,62.1
01/04/2017,46.2
02/04/2017,60.9
03/04/2017,79.9
04/04/2017,115.1
05/04/2017,112.7
06/04/2017,121.5
07/04/2017,139.4
08/04/2017,61.2
09/04/2017,43.8
10/04/2017,72.5
11/04/2017,74.9
12/04/2017,49.7
13/04/2017,71.7
14/04/2017,38.4
15/04/2017,29.5
16/04/2017,22.3
17/04/2017,53.9
18/04/2017,76.2
19/04/2017,56.3
20/04/2017,84.1
21/04/2017,102
22/04/2017,57.5
23/04/2017,33.6
24/04/2017,74.7
25/04/2017,86.9
26/04/2017,104
27/04/2017,93.1
28/04/2017,100.9
29/04/2017,46.4
30/04/2017,17.3
01/05/2017,19.6
02/05/2017,67.7
03/05/2017,90.7
04/05/2017,69.3
05/05/2017,35.4
06/05/2017,41.7
07/05/2017,63.1
08/05/2017,90.5
09/05/2017,52.9
10/05/2017,43.7
11/05/2017,61.5
12/05/2017,66.7
13/05/2017,34.9
14/05/2017,25.9
15/05/2017,49.4
16/05/2017,49.1
17/05/2017,87.6
18/05/2017,97.3
19/05/2017,75
20/05/2017,36.6
21/05/2017,31.6
22/05/2017,44.7
23/05/2017,82.1
24/05/2017,88.1
25/05/2017,48.3
26/05/2017,41.1
27/05/2017,35.5
28/05/2017,40.6
29/05/2017,35.6
30/05/2017,54.2
31/05/2017,82.2
01/06/2017,80.2
02/06/2017,93.8
03/06/2017,31.9
04/06/2017,21.3
05/06/2017,47.4
06/06/2017,38.5
07/06/2017,41.3
08/06/2017,43.2
09/06/2017,56.4
10/06/2017,32.8
11/06/2017,22.1
12/06/2017,52
13/06/2017,98.2
14/06/2017,81.2
15/06/2017,69.2
16/06/2017,77.1
17/06/2017,58.4
18/06/2017,53.5
19/06/2017,73.4
20/06/2017,64.5
21/06/2017,69.9
22/06/2017,64.4
23/06/2017,50.9
24/06/2017,30.8
25/06/2017,24.9
26/06/2017,82.7
27/06/2017,85.1
28/06/2017,132
29/06/2017,83.3
30/06/2017,90.5
01/07/2017,51.7
02/07/2017,46.5
03/07/2017,62.3
04/07/2017,80
05/07/2017,80.8
06/07/2017,66.1
07/07/2017,73.5
08/07/2017,65
09/07/2017,41.5
10/07/2017,73.6
11/07/2017,72.1
12/07/2017,108
13/07/2017,86.9
14/07/2017,84
15/07/2017,50.6
16/07/2017,39.6
17/07/2017,98
18/07/2017,60.5
19/07/2017,60.7
20/07/2017,67.9
21/07/2017,52.9
22/07/2017,63.1
23/07/2017,46.9
24/07/2017,95.8
25/07/2017,86.5
26/07/2017,66.5
27/07/2017,54.9
28/07/2017,38.6
29/07/2017,51.5
30/07/2017,28.4
31/07/2017,58.9
01/08/2017,69.5
02/08/2017,69.2
03/08/2017,37
04/08/2017,56.7
05/08/2017,63.1
06/08/2017,36.2
07/08/2017,70.7
08/08/2017,81.8
09/08/2017,118.8
10/08/2017,102.7
11/08/2017,79.8
12/08/2017,41.5
13/08/2017,50.9
14/08/2017,69.6
15/08/2017,79.4
16/08/2017,74.9
17/08/2017,43.2
18/08/2017,50.1
19/08/2017,33.1
20/08/2017,33.8
21/08/2017,51.8
22/08/2017,52.4
23/08/2017,73.5
24/08/2017,79.3
25/08/2017,93.8
26/08/2017,78.6
27/08/2017,58.8
28/08/2017,54.5
29/08/2017,89.6
30/08/2017,144.5
31/08/2017,100.1
01/09/2017,121.9
02/09/2017,77.6
03/09/2017,32.2
04/09/2017,59.8
05/09/2017,46.4
06/09/2017,70.3
07/09/2017,70.5
08/09/2017,61.6
09/09/2017,68.5
10/09/2017,32.5
11/09/2017,39.3
12/09/2017,51.2
13/09/2017,42
14/09/2017,67.3
15/09/2017,104.4
16/09/2017,107.4
17/09/2017,84.7
18/09/2017,113
19/09/2017,118.2
20/09/2017,89.8
21/09/2017,70.4
22/09/2017,92.4
23/09/2017,45.7
24/09/2017,28.3
25/09/2017,81.8
26/09/2017,67.5
27/09/2017,64.8
28/09/2017,69.9
29/09/2017,67.9
30/09/2017,63.8
